pdwrk,agea,gndr,agepnt,ttminpnt,acchome,chldo12,hhlio12,marsts,domicil,hinctnta,health,hlthhmp,ipadvnt,hincfel,sclact,ipcrtiv,ipmodst,hincsrca,mnactp
1,55,2,79,30,1,3,1,4,2,6,1,3,3,2,4,4,3,1,66
1,37,1,64,8888,1,2,9,4,4,3,2,3,4,3,1,2,4,1,66
0,35,2,65,960,1,0,6,66,1,4,2,3,5,1,2,2,2,2,66
1,59,1,82,5,1,3,2,66,4,8,2,3,3,1,2,1,2,2,66
1,59,1,666,6666,1,2,2,66,4,9,2,3,5,1,3,3,4,2,66
1,35,2,59,120,1,0,6,6,1,77,1,3,2,3,2,2,2,1,66
1,32,1,57,2,1,0,6,6,3,4,2,3,4,1,2,2,2,1,66
1,42,1,61,15,1,0,6,6,4,7,1,3,3,3,3,1,2,2,1
1,30,2,65,20,1,0,6,6,1,4,1,3,2,2,4,3,2,1,66
1,34,1,61,1,1,0,6,6,1,9,1,3,2,1,2,1,2,1,66
1,41,1,64,15,1,0,6,6,4,9,1,3,2,1,3,3,3,1,66
0,32,2,54,15,1,0,6,6,4,88,2,3,1,2,3,1,5,6,66
0,22,1,42,6666,1,0,6,6,4,10,1,3,3,1,3,2,2,2,66
1,58,1,666,6666,1,2,2,4,2,5,2,3,3,2,4,3,3,1,66
0,64,1,666,6666,1,2,2,66,4,8,2,3,5,1,2,5,2,4,66
1,37,1,65,60,1,0,6,66,4,8,2,3,4,1,2,1,3,2,66
1,52,2,90,30,1,2,2,4,4,7,2,3,6,1,3,2,1,1,66
1,28,2,55,30,1,0,6,66,1,9,1,3,5,1,3,3,5,1,1
1,59,2,666,6666,1,0,6,66,5,8,2,3,5,1,3,2,5,1,66
1,53,1,81,6666,1,0,6,6,4,5,2,3,5,2,2,3,5,1,66
1,43,2,66,10,1,2,1,6,4,8,1,3,4,2,3,2,2,1,66
0,61,2,666,6666,1,2,2,5,4,1,2,2,4,2,3,2,2,4,66
0,38,1,71,5,1,0,6,66,4,8,1,3,2,2,3,1,3,1,66
1,63,1,666,6666,1,3,2,66,2,7,2,3,4,1,2,3,4,1,66
0,19,1,666,6666,1,0,6,6,3,88,2,3,2,8,2,2,5,88,66
0,64,1,90,6666,1,77,6,6,3,77,3,1,4,3,1,3,2,2,66
1,56,2,89,6666,1,0,6,5,4,5,2,3,5,2,3,2,2,4,66
0,20,1,50,6666,1,0,6,6,5,9,1,3,1,1,4,2,1,1,66
0,19,1,54,6666,1,0,6,6,4,88,2,3,5,1,3,2,2,1,66
0,57,1,78,30,1,3,2,4,3,3,4,1,5,3,2,5,3,5,66
0,61,1,89,30,1,0,6,66,2,6,1,3,5,1,3,1,1,1,66
1,28,2,55,10,1,0,6,6,4,3,2,2,4,1,2,2,1,1,66
1,35,1,65,8,1,0,6,6,4,9,1,3,6,2,4,4,2,1,66
0,65,1,666,6666,1,2,2,4,4,3,2,2,1,2,3,1,2,4,66
1,57,1,74,10,1,3,1,66,5,10,3,2,5,1,4,2,2,1,66
1,29,2,61,5,1,0,6,66,4,7,1,3,4,1,2,4,2,1,66
1,38,1,64,75,1,0,6,66,3,8,2,3,4,1,3,3,1,1,1
0,56,1,90,25,1,1,2,6,4,77,3,2,4,3,2,2,2,5,66
1,33,1,58,180,1,0,6,66,1,4,1,3,2,2,2,1,1,1,66
1,59,2,83,10,1,2,2,66,5,9,1,3,6,1,2,2,2,1,66
0,63,1,666,6666,1,2,2,66,3,7,2,3,3,1,3,3,2,4,1
1,34,1,64,25,1,0,6,6,4,7,3,1,4,1,4,3,4,1,66
1,51,2,666,6666,1,1,1,66,4,10,1,3,5,1,4,2,2,1,66
0,29,2,55,30,0,0,6,66,4,3,1,3,3,2,2,3,2,1,66
1,56,2,666,6666,1,2,1,66,4,10,2,3,3,1,2,2,1,1,1
1,61,1,90,60,1,3,2,4,4,7,1,3,3,2,4,1,2,2,66
0,20,2,63,6666,1,0,6,6,1,6,2,3,1,1,4,1,4,1,66
1,43,2,73,10,1,0,6,3,4,7,2,3,4,2,1,2,2,1,66
0,32,2,67,8888,1,0,6,66,4,7,2,3,6,3,2,2,2,1,66
1,23,2,54,1800,1,0,6,66,4,8,3,3,3,1,1,1,3,1,66
1,26,2,62,6666,1,0,6,6,3,7,2,3,4,2,1,2,2,1,66
0,65,1,666,6666,1,2,2,66,4,77,1,3,4,2,3,2,1,4,66
1,57,1,86,20,1,1,2,66,3,9,2,2,5,1,2,3,2,2,66
1,44,1,67,10,1,0,6,6,3,8,2,3,5,2,4,1,2,1,66
1,37,1,64,10,1,0,6,66,3,8,1,3,5,1,3,1,3,2,66
1,55,2,80,55,1,3,2,66,4,10,2,3,5,1,4,2,2,1,1
1,42,1,73,6666,1,0,6,6,3,6,2,3,1,3,3,3,1,1,66
1,54,2,83,420,1,2,1,4,1,6,1,3,4,3,4,3,3,1,66
0,58,2,88,720,1,3,2,1,1,1,2,2,6,3,4,2,1,6,66
0,18,2,48,60,1,0,6,6,4,7,1,3,1,1,3,1,4,1,66
0,58,1,80,10,1,1,2,4,4,3,2,2,4,3,4,1,3,4,66
1,37,2,72,60,1,0,6,66,2,8,2,3,6,1,4,2,3,1,66
0,18,1,48,6666,1,0,6,6,4,88,2,3,1,1,4,2,3,2,66
1,29,1,59,20,1,0,6,6,4,10,1,3,3,1,3,2,3,1,8
0,59,2,85,10,1,1,1,6,4,3,2,3,3,3,1,1,1,5,66
0,24,1,59,40,1,0,6,6,4,2,1,3,2,3,2,5,3,5,66
0,65,1,90,10,1,3,1,66,2,5,2,3,4,2,4,3,2,4,66
0,62,2,666,6666,1,2,2,66,4,5,2,3,4,3,4,1,2,1,66
0,42,2,66,5,1,2,2,4,3,7,3,3,4,2,3,2,1,2,66
1,42,2,64,5,1,0,6,4,4,5,1,3,3,1,3,1,3,1,66
1,61,2,84,1440,1,2,2,4,3,4,2,3,5,1,3,4,2,1,66
0,53,2,73,20,1,2,2,4,3,1,4,1,6,4,2,1,2,6,66
1,50,2,666,6666,1,0,6,6,4,5,1,3,5,1,2,3,2,1,66
0,21,2,55,10,1,77,6,6,1,88,2,3,2,2,3,2,5,88,66
1,36,1,65,900,1,0,6,66,4,10,1,3,2,1,5,3,3,1,66
0,65,2,666,6666,1,1,2,66,4,1,4,1,4,3,3,6,4,1,66
1,32,2,61,15,1,0,6,6,4,7,2,2,2,2,3,2,3,1,66
1,43,2,71,10,1,1,1,6,4,8,2,3,3,1,3,2,3,1,66
1,43,2,71,1,1,1,1,66,4,2,2,3,3,2,1,4,1,1,66
0,20,2,52,5,1,0,6,6,3,88,2,3,2,1,3,2,3,1,66
1,55,1,666,6666,1,0,6,6,3,6,2,3,5,1,2,2,5,1,66
1,49,1,73,15,1,1,1,6,3,4,2,3,4,2,2,3,2,1,66
1,41,2,69,210,1,0,6,66,3,7,2,3,4,1,3,1,1,1,66
1,27,2,58,6666,1,77,6,6,4,4,2,3,4,2,2,3,1,88,66
1,58,1,666,6666,1,4,1,66,3,10,3,2,1,1,2,1,4,1,66
1,48,2,70,45,1,2,1,4,4,7,2,3,3,2,2,2,1,1,66
1,52,1,76,120,1,0,6,66,4,10,2,3,3,1,2,1,2,1,66
0,18,2,39,6666,1,0,6,6,1,88,1,3,6,3,2,2,1,6,66
0,41,2,68,6,1,0,6,6,3,2,5,1,5,4,5,1,1,8,66
1,34,2,68,30,1,0,6,6,1,9,1,3,5,1,2,2,3,1,66
0,18,2,777,6666,1,0,6,6,4,77,2,3,2,2,2,2,2,1,66
1,52,1,83,15,1,3,1,66,3,10,1,3,2,1,3,1,3,1,66
1,42,2,67,1320,1,1,1,4,3,10,3,2,3,3,2,2,2,1,66
0,36,2,56,120,1,0,6,66,3,10,2,3,3,1,2,1,2,2,66
1,60,2,666,6666,1,1,2,66,4,8,2,3,4,1,3,4,2,1,66
1,37,1,888,90,1,0,6,6,3,1,1,3,2,3,2,3,5,1,66
1,43,2,60,90,1,3,1,66,3,77,1,3,5,1,4,1,1,1,66
0,35,1,62,180,1,0,6,6,1,88,1,3,2,4,2,2,1,8,66
1,56,1,666,6666,1,2,2,66,4,7,1,3,4,2,2,1,2,1,66
1,34,2,54,15,1,0,6,6,4,8,2,3,4,1,2,2,3,1,66
1,47,2,72,1,1,1,1,66,4,6,3,2,5,2,3,3,2,1,66
0,51,1,84,5,1,0,6,6,4,2,1,3,1,2,4,2,1,5,66
0,19,2,48,6666,1,0,6,6,3,9,2,3,4,1,3,4,3,1,66
0,40,1,74,330,1,2,1,66,1,8,2,2,1,3,3,2,2,1,66
1,54,1,666,6666,1,1,2,6,2,10,1,3,4,1,2,2,3,1,66
1,30,1,59,30,1,0,6,6,3,1,1,3,3,3,2,1,2,1,66
1,43,2,81,360,1,1,1,5,4,88,2,3,2,2,3,1,1,1,66
0,23,2,56,6666,1,0,6,6,3,88,1,3,2,1,3,3,3,1,66
1,49,2,77,420,1,3,1,66,1,10,1,3,3,1,3,1,4,1,66
1,53,1,77,12,1,3,2,6,3,10,1,3,5,1,3,3,4,7,66
1,27,2,50,6666,1,0,6,6,4,77,2,3,4,2,2,2,5,1,66
0,22,1,48,30,1,0,6,6,4,10,2,3,2,3,3,2,5,2,66
1,32,2,62,20,1,0,6,6,1,10,1,3,3,1,5,4,1,1,66
1,24,2,53,15,1,0,6,6,4,7,2,3,4,1,4,1,2,1,66
1,51,2,77,35,1,2,1,66,4,9,2,3,6,1,2,2,2,1,66
1,48,1,75,4,1,2,1,66,5,10,2,3,3,1,5,2,1,1,66
1,58,1,81,7,1,2,2,4,5,3,2,3,4,2,3,4,2,2,66
1,63,1,85,1,1,1,1,4,4,7,3,2,3,1,2,2,1,1,66
1,52,1,76,15,1,4,1,66,4,9,2,3,6,1,2,1,2,1,66
1,41,2,64,3,1,0,6,66,2,9,2,3,4,1,3,4,3,1,66
1,30,2,57,10,1,0,6,6,4,8,2,3,4,1,3,2,2,1,66
1,37,2,67,480,1,0,6,66,2,5,1,3,2,2,2,1,2,1,66
0,60,1,666,6666,1,4,2,4,4,7,3,2,4,1,4,2,1,1,66
1,63,1,666,6666,1,1,2,6,3,3,2,3,2,2,3,1,2,1,66
1,20,2,42,6666,1,0,6,6,4,4,1,3,1,1,3,1,2,2,66
0,20,2,57,6666,1,0,6,6,5,88,1,3,3,1,3,3,2,1,66
1,45,1,65,20,1,1,1,66,1,7,2,3,4,2,3,4,3,1,66
1,35,1,65,60,1,0,6,6,4,7,3,3,2,3,2,1,3,1,66
1,47,1,67,20,1,2,1,66,4,8,2,2,4,2,2,1,2,1,8
1,57,1,79,10,1,1,2,4,3,4,2,3,4,2,2,3,3,1,66
0,18,1,42,6666,1,0,6,6,3,7,2,3,3,1,3,3,5,1,66
1,56,2,87,90,1,1,2,66,2,2,2,3,2,2,1,4,2,1,66
1,32,2,64,150,1,1,1,66,3,6,1,3,4,2,3,4,4,1,5
1,32,1,58,600,1,0,6,66,4,7,2,3,5,2,2,3,3,1,66
1,64,1,666,6666,1,3,2,6,3,7,2,3,2,1,4,2,1,1,66
1,35,2,55,30,1,0,6,6,1,2,2,3,2,3,2,1,2,1,66
1,45,2,74,30,1,2,1,6,5,10,1,3,5,1,2,2,2,1,1
1,54,2,73,4,1,1,1,5,4,6,2,3,4,2,2,3,2,1,66
0,21,1,58,6666,1,0,6,6,1,88,2,3,3,1,3,3,2,1,66
0,20,1,51,6666,1,0,6,6,4,7,3,2,1,1,3,1,2,1,66
0,39,1,666,6666,1,0,6,66,3,88,4,1,2,3,2,2,2,1,66
1,44,2,65,30,1,0,6,6,4,8,2,3,4,2,2,2,2,1,66
0,49,2,666,6666,1,1,1,1,1,4,3,1,4,2,1,3,1,5,66
1,32,1,68,6666,1,0,6,6,4,7,2,3,2,2,3,3,2,2,66
1,31,1,55,10,1,0,6,6,5,10,2,3,2,3,4,1,3,1,66
1,43,1,66,8,1,1,1,6,3,7,2,3,3,2,3,3,2,1,66
